scenario	year	rep	region	n_individuals	sample_status	chromosome_length	neutral_variants_vcf	pi
restore_2km	2140	rep001	NW	60	ok	19361589	38200	0.0002178660859625471
restore_2km	2140	rep001	NE	60	ok	19361589	38200	0.00021779382124998095
restore_2km	2140	rep001	W	60	ok	19361589	38200	0.0002189352203221306
restore_2km	2140	rep001	E	60	ok	19361589	38200	0.00021814026508169766
restore_2km	2140	rep001	SE	60	ok	19361589	38200	0.00021615359311740587
restore_2km	2140	rep001	NEW01	60	ok	19361589	38200	3.818751696481944e-05
restore_2km	2140	rep001	NEW02	47	ok	19361589	38200	0.00020957066795125067
restore_2km	2140	rep002	NW	60	ok	19361589	37760	0.00021753195389667736
restore_2km	2140	rep002	NE	60	ok	19361589	37760	0.00021672193808251346
restore_2km	2140	rep002	W	60	ok	19361589	37760	0.0002182643448228956
restore_2km	2140	rep002	E	60	ok	19361589	37760	0.00021798088486028286
restore_2km	2140	rep002	SE	60	ok	19361589	37760	0.00021641198105862197
restore_2km	2140	rep002	NEW01	60	ok	19361589	37760	3.842724918094352e-05
restore_2km	2140	rep002	NEW02	0	absent	19361589	37760	nan
restore_2km	2140	rep003	NW	60	ok	19361589	38734	0.00021675657306186578
restore_2km	2140	rep003	NE	60	ok	19361589	38734	0.00021667776908001945
restore_2km	2140	rep003	W	60	ok	19361589	38734	0.00021792242929048942
restore_2km	2140	rep003	E	60	ok	19361589	38734	0.00021722402231017876
restore_2km	2140	rep003	SE	60	ok	19361589	38734	0.00021679476702406354
restore_2km	2140	rep003	NEW01	60	ok	19361589	38734	3.853181961986491e-05
restore_2km	2140	rep003	NEW02	54	ok	19361589	38734	0.00020967873911117963
restore_2km	2140	rep004	NW	60	ok	19361589	38495	0.0002157628283753916
restore_2km	2140	rep004	NE	60	ok	19361589	38495	0.0002155526024418042
restore_2km	2140	rep004	W	60	ok	19361589	38495	0.00021765706082398184
restore_2km	2140	rep004	E	60	ok	19361589	38495	0.0002173620703356585
restore_2km	2140	rep004	SE	60	ok	19361589	38495	0.00021719309098776018
restore_2km	2140	rep004	NEW01	60	ok	19361589	38495	3.709618959841506e-05
restore_2km	2140	rep004	NEW02	58	ok	19361589	38495	0.0002072562042958825
restore_2km	2140	rep005	NW	60	ok	19361589	38557	0.00021749851247863827
restore_2km	2140	rep005	NE	60	ok	19361589	38557	0.00021689150336051143
restore_2km	2140	rep005	W	60	ok	19361589	38557	0.00021876146672895796
restore_2km	2140	rep005	E	60	ok	19361589	38557	0.00021829436469848762
restore_2km	2140	rep005	SE	60	ok	19361589	38557	0.0002161620565522096
restore_2km	2140	rep005	NEW01	60	ok	19361589	38557	3.820421958957514e-05
restore_2km	2140	rep005	NEW02	56	ok	19361589	38557	0.0002064851345042168
restore_4km	2140	rep001	NW	60	ok	19361589	38949	0.0002168773180650878
restore_4km	2140	rep001	NE	60	ok	19361589	38949	0.0002182145914001741
restore_4km	2140	rep001	W	60	ok	19361589	38949	0.0002178745710984694
restore_4km	2140	rep001	E	60	ok	19361589	38949	0.0002175690845042418
restore_4km	2140	rep001	SE	60	ok	19361589	38949	0.00021716674583429501
restore_4km	2140	rep001	NEW01	60	ok	19361589	38949	3.785711749070962e-05
restore_4km	2140	rep001	NEW02	49	ok	19361589	38949	0.0002075812844478056
restore_4km	2140	rep002	NW	60	ok	19361589	39250	0.00021676096392077854
restore_4km	2140	rep002	NE	60	ok	19361589	39250	0.00021617116378675643
restore_4km	2140	rep002	W	60	ok	19361589	39250	0.00021766375200107235
restore_4km	2140	rep002	E	60	ok	19361589	39250	0.0002181237505332705
restore_4km	2140	rep002	SE	60	ok	19361589	39250	0.0002175034386317172
restore_4km	2140	rep002	NEW01	60	ok	19361589	39250	3.8941428163301375e-05
restore_4km	2140	rep002	NEW02	52	ok	19361589	39250	0.00020406971199335696
restore_4km	2140	rep003	NW	60	ok	19361589	39477	0.00021675906145637408
restore_4km	2140	rep003	NE	60	ok	19361589	39477	0.0002170373493199444
restore_4km	2140	rep003	W	60	ok	19361589	39477	0.00021822094982683755
restore_4km	2140	rep003	E	60	ok	19361589	39477	0.00021867103094953285
restore_4km	2140	rep003	SE	60	ok	19361589	39477	0.00021702212960470407
restore_4km	2140	rep003	NEW01	60	ok	19361589	39477	3.8305476991624055e-05
restore_4km	2140	rep003	NEW02	60	ok	19361589	39477	0.0002100735555918102
restore_4km	2140	rep004	NW	60	ok	19361589	37931	0.00021737921421641513
restore_4km	2140	rep004	NE	60	ok	19361589	37931	0.00021654635436198612
restore_4km	2140	rep004	W	60	ok	19361589	37931	0.00021792633549117056
restore_4km	2140	rep004	E	60	ok	19361589	37931	0.000217346257456613
restore_4km	2140	rep004	SE	60	ok	19361589	37931	0.00021580204952369243
restore_4km	2140	rep004	NEW01	60	ok	19361589	37931	3.8585059688380436e-05
restore_4km	2140	rep004	NEW02	4	low_n_lt10	19361589	37931	0.0001850718819765102
restore_4km	2140	rep005	NW	60	ok	19361589	39285	0.0002202728119402357
restore_4km	2140	rep005	NE	60	ok	19361589	39285	0.00021895073661927207
restore_4km	2140	rep005	W	60	ok	19361589	39285	0.00022028091368979152
restore_4km	2140	rep005	E	60	ok	19361589	39285	0.00021953726711865305
restore_4km	2140	rep005	SE	60	ok	19361589	39285	0.00021848124023246093
restore_4km	2140	rep005	NEW01	60	ok	19361589	39285	3.8100951217546866e-05
restore_4km	2140	rep005	NEW02	56	ok	19361589	39285	0.0002117433512979135
